H	        20	        21	      15	21/03/2021	27/03/2021	3	MA	"26,27,28,29,30,31,32,37,38,39,40,41,42,48,49,50,51"	 9.71	 8.09	    534050
D	FUN001	     29.13	    3.00								
D	FUN005	     29.13	    3.00								
D	FUN003	     19.42	    2.00								
D	INS003	     29.13	    3.00								
H	        20	        21	      12	21/03/2021	27/03/2021	3	MA	46	 0.60	 0.50	     33000
D	FER001	     12.00	   20.00								
D	REG001	      1.50	    2.50								
D	FER014	      1.50	    2.50								
H	        20	        21	       7	21/03/2021	27/03/2021	3	MA	"08,09,10,11,12,13"	 1.24	 1.03	     68200
D	FUN003	      2.48	    2.00								
D	INS001	      4.96	    4.00								
D	FUN005	      3.72	    3.00								
D	FER008	      3.10	    2.50								
H	        20	        21	       8	21/03/2021	27/03/2021	3	MA	"20,21,22,23,24,25"	 2.18	 1.82	    119900
D	FUN003	      4.36	    2.00								
D	FUN001	      8.72	    4.00								
D	FER008	      5.45	    2.50								
H	        20	        21	      11	21/03/2021	27/03/2021	3	MA	05	 0.38	 0.25	     22550
D	FER002	     15.20	   40.00								
D	FER007	      3.04	    8.00								
H	        20	        21	      19	21/03/2021	27/03/2021	3	MA	"01,06"	 0.86	 0.72	     49072
D	INS003	      5.16	    6.00								
H	        20	        21	       9	21/03/2021	27/03/2021	3	MA	03	 0.44	 0.29	     26950
D	FER002	     17.60	   40.00								
D	FER007	      3.52	    8.00								
D	FER013	     13.20	   30.00								
H	        20	        21	      42	21/03/2021	27/03/2021	3	MA	45	 0.70	 0.47	     38500
D	FER002	     28.00	   40.00								
D	FER007	      5.60	    8.00								
D	FER013	     21.00	   30.00								
D	FER015	      0.70	    1.00								
H	        20	        21	      13	21/03/2021	27/03/2021	3	MA	46	 0.60	 0.50	     33000
D	FER001	     12.00	   20.00								
D	REG001	      1.50	    2.50								
D	FER014	      1.50	    2.50								
H	        20	        21	      14	21/03/2021	27/03/2021	3	MA	"33,43,44,45,47"	 2.69	 1.79	    147950
D	FER001	    255.55	   95.00								
D	FER002	    174.85	   65.00								
D	FER013	    134.50	   50.00								
D	FER007	      8.07	    3.00								
H	        20	        21	      10	21/03/2021	27/03/2021	3	MA	"34,35,36,54,55,56,57,58,59"	 5.32	 3.55	    292600
D	FER001	    505.40	   95.00								
D	FER002	    345.80	   65.00								
D	FER013	    266.00	   50.00								
D	FER007	     15.96	    3.00								
H	        20	        21	      16	21/03/2021	27/03/2021	3	MA	"26,27,28,29,30,31,32,37,38,39,40,41,42,48,49,50,51"	 9.71	 8.09	    534050
D	HER001	     29.13	    3.00								
D	HER002	     24.28	    2.50								
D	HER004	     24.28	    2.50								
D	HER005	     29.13	    3.00								
