[27-Aug-2018 20:10:59 America/Mexico_City] PHP Fatal error:  Call to undefined method facturacion2_model::balance_general_pdf() in /home/elgame/www/sanjorge/application/controllers/panel/reportes.php on line 63
[27-Aug-2018 20:11:51 America/Mexico_City] PHP Fatal error:  Call to undefined method facturacion2_model::balance_general_pdf() in /home/elgame/www/sanjorge/application/controllers/panel/reportes.php on line 63
[27-Aug-2018 20:13:55 America/Mexico_City] PHP Fatal error:  Cannot access parent:: when current class scope has no parent in /home/elgame/www/sanjorge/application/models/reportes_model.php on line 5
[27-Aug-2018 22:18:26 America/Mexico_City] PHP Fatal error:  Call to a member function get() on null in /home/elgame/www/sanjorge/application/models/reportes_model.php on line 97
[27-Aug-2018 22:19:39 America/Mexico_City] PHP Fatal error:  Call to a member function get() on null in /home/elgame/www/sanjorge/application/models/reportes_model.php on line 97
[27-Aug-2018 22:19:39 America/Mexico_City] PHP Fatal error:  Call to a member function get() on null in /home/elgame/www/sanjorge/application/models/reportes_model.php on line 97
[27-Aug-2018 22:19:39 America/Mexico_City] PHP Fatal error:  Call to a member function get() on null in /home/elgame/www/sanjorge/application/models/reportes_model.php on line 97
[27-Aug-2018 22:19:40 America/Mexico_City] PHP Fatal error:  Call to a member function get() on null in /home/elgame/www/sanjorge/application/models/reportes_model.php on line 97
[27-Aug-2018 22:19:40 America/Mexico_City] PHP Fatal error:  Call to a member function get() on null in /home/elgame/www/sanjorge/application/models/reportes_model.php on line 97
[27-Aug-2018 22:19:40 America/Mexico_City] PHP Fatal error:  Call to a member function get() on null in /home/elgame/www/sanjorge/application/models/reportes_model.php on line 97
[27-Aug-2018 22:19:40 America/Mexico_City] PHP Fatal error:  Call to a member function get() on null in /home/elgame/www/sanjorge/application/models/reportes_model.php on line 97
